started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T07:04:06.829Z,2026-07-30T07:04:09.642Z,btc5m1785394904162,no,2813,157.3
2026-07-30T07:04:06.829Z,2026-07-30T07:04:10.037Z,btc5m1785394907013,yes,3208,160.2
2026-07-30T07:04:06.829Z,2026-07-30T07:04:10.037Z,btc5m1785394907013,no,3208,160.2
2026-07-30T07:04:18.858Z,2026-07-30T07:04:20.866Z,btc5m1785394904162,yes,2008,145.3
2026-07-30T07:04:18.858Z,2026-07-30T07:04:20.866Z,btc5m1785394904162,no,2008,145.3
2026-07-30T07:04:22.065Z,2026-07-30T07:04:22.947Z,btc5m1785394907013,yes,882,144.9
2026-07-30T07:04:22.065Z,2026-07-30T07:04:22.947Z,btc5m1785394907013,no,882,144.9
2026-07-30T07:04:25.273Z,2026-07-30T07:04:26.880Z,btc5m1785394904162,yes,1607,138.9
2026-07-30T07:04:25.273Z,2026-07-30T07:04:26.880Z,btc5m1785394904162,no,1607,138.9
2026-07-30T07:04:28.493Z,2026-07-30T07:04:29.296Z,btc5m1785394907013,yes,803,138.5
2026-07-30T07:04:28.493Z,2026-07-30T07:04:29.296Z,btc5m1785394907013,no,803,138.5
2026-07-30T07:04:28.493Z,2026-07-30T07:04:29.707Z,btc5m1785394904162,yes,1214,135.7
2026-07-30T07:04:28.493Z,2026-07-30T07:04:29.707Z,btc5m1785394904162,no,1214,135.7
2026-07-30T07:04:32.105Z,2026-07-30T07:04:33.328Z,btc5m1785394904162,no,1223,132.1
2026-07-30T07:04:32.105Z,2026-07-30T07:04:33.710Z,btc5m1785394904162,yes,1605,132.1
2026-07-30T07:04:32.105Z,2026-07-30T07:04:33.710Z,btc5m1785394907013,yes,1605,134.9
2026-07-30T07:04:32.105Z,2026-07-30T07:04:33.710Z,btc5m1785394907013,no,1605,134.9
2026-07-30T07:04:53.380Z,2026-07-30T07:04:54.990Z,btc5m1785394904162,yes,1610,110.8
2026-07-30T07:04:53.380Z,2026-07-30T07:04:54.990Z,btc5m1785394904162,no,1610,110.8
2026-07-30T07:04:53.380Z,2026-07-30T07:04:54.990Z,btc5m1785394907013,yes,1610,113.6
2026-07-30T07:04:53.380Z,2026-07-30T07:04:55.395Z,btc5m1785394907013,no,2015,113.6
2026-07-30T07:05:04.609Z,2026-07-30T07:05:05.011Z,btc5m1785394904162,yes,402,99.6
2026-07-30T07:05:04.609Z,2026-07-30T07:05:05.011Z,btc5m1785394904162,no,402,99.6
2026-07-30T07:05:04.609Z,2026-07-30T07:05:05.011Z,btc5m1785394907013,yes,402,102.4
2026-07-30T07:05:04.609Z,2026-07-30T07:05:05.011Z,btc5m1785394907013,no,402,102.4
2026-07-30T07:05:07.415Z,2026-07-30T07:05:09.423Z,btc5m1785394904162,yes,2008,96.7
2026-07-30T07:05:07.415Z,2026-07-30T07:05:09.423Z,btc5m1785394907013,yes,2008,99.6
2026-07-30T07:05:07.415Z,2026-07-30T07:05:09.423Z,btc5m1785394907013,no,2008,99.6
2026-07-30T07:05:07.415Z,2026-07-30T07:05:09.822Z,btc5m1785394904162,no,2407,96.7
2026-07-30T07:05:13.830Z,2026-07-30T07:05:17.440Z,btc5m1785394904162,yes,3610,90.3
2026-07-30T07:05:13.830Z,2026-07-30T07:05:17.440Z,btc5m1785394904162,no,3610,90.3
2026-07-30T07:05:13.830Z,2026-07-30T07:05:17.440Z,btc5m1785394907013,yes,3610,93.2
2026-07-30T07:05:13.830Z,2026-07-30T07:05:17.440Z,btc5m1785394907013,no,3610,93.2
2026-07-30T07:05:19.446Z,2026-07-30T07:05:20.647Z,btc5m1785394904162,yes,1201,84.7
2026-07-30T07:05:19.446Z,2026-07-30T07:05:20.647Z,btc5m1785394904162,no,1201,84.7
2026-07-30T07:05:19.446Z,2026-07-30T07:05:20.647Z,btc5m1785394907013,yes,1201,87.6
2026-07-30T07:05:19.446Z,2026-07-30T07:05:20.647Z,btc5m1785394907013,no,1201,87.6
2026-07-30T07:05:25.064Z,2026-07-30T07:05:25.462Z,btc5m1785394904162,yes,398,79.1
2026-07-30T07:05:25.064Z,2026-07-30T07:05:25.462Z,btc5m1785394904162,no,398,79.1
2026-07-30T07:05:25.064Z,2026-07-30T07:05:25.462Z,btc5m1785394907013,yes,398,81.9
2026-07-30T07:05:25.064Z,2026-07-30T07:05:25.462Z,btc5m1785394907013,no,398,81.9
2026-07-30T07:05:28.671Z,2026-07-30T07:05:29.879Z,btc5m1785394904162,yes,1208,75.5
2026-07-30T07:05:28.273Z,2026-07-30T07:05:29.879Z,btc5m1785394904162,no,1606,75.9
2026-07-30T07:05:28.273Z,2026-07-30T07:05:29.879Z,btc5m1785394907013,yes,1606,78.7
2026-07-30T07:05:28.273Z,2026-07-30T07:05:29.879Z,btc5m1785394907013,no,1606,78.7
2026-07-30T07:05:34.688Z,2026-07-30T07:05:37.495Z,btc5m1785394904162,yes,2807,69.5
2026-07-30T07:05:34.688Z,2026-07-30T07:05:37.495Z,btc5m1785394904162,no,2807,69.5
2026-07-30T07:05:34.688Z,2026-07-30T07:05:37.495Z,btc5m1785394907013,yes,2807,72.3
2026-07-30T07:05:34.688Z,2026-07-30T07:05:37.495Z,btc5m1785394907013,no,2807,72.3
2026-07-30T07:05:40.306Z,2026-07-30T07:05:40.705Z,btc5m1785394904162,yes,399,63.9
2026-07-30T07:05:40.306Z,2026-07-30T07:05:40.705Z,btc5m1785394904162,no,399,63.9
2026-07-30T07:05:40.306Z,2026-07-30T07:05:40.705Z,btc5m1785394907013,yes,399,66.7
